Table_Name,Num_Columns,Num_PKs,Table_Type,Num_Numeric,Num_Text,Num_Date,Pct_Numeric,Pct_Text,Pct_Date,PK_Ratio,Has_Code_Prefix,Has_Measure_Prefix,Num_Key_Like,Num_Measure_Like
CODE_DEVS,3,2,0,0,3,0,0.0,1.0,0.0,0.6666666666666666,1,0,2,0
CODE_DYSF_SALS,3,2,0,0,3,0,0.0,1.0,0.0,0.6666666666666666,1,0,2,0
CODE_ETAT_DEMN_DEFI,4,2,0,0,4,0,0.0,1.0,0.0,0.5,1,0,2,1
CODE_ETAT_ENTT_CLNT,3,2,0,0,3,0,0.0,1.0,0.0,0.6666666666666666,1,0,2,0
CODE_EVNM_AQRL,3,2,0,0,3,0,0.0,1.0,0.0,0.6666666666666666,1,1,2,0
CODE_EVNM_BPCE,5,2,0,0,3,2,0.0,0.6,0.4,0.4,1,1,4,0
CODE_EVNM_CCLI,6,4,0,0,4,2,0.0,0.6666666666666666,0.3333333333333333,0.6666666666666666,1,1,3,0
CODE_EXTN_CORR_CODE_INTE,4,3,0,1,3,0,0.25,0.75,0.0,0.75,1,0,3,0
CODE_FAML_APE,3,2,0,0,3,0,0.0,1.0,0.0,0.6666666666666666,1,0,2,0
CODE_FAML_CATG_JURD,3,2,0,0,3,0,0.0,1.0,0.0,0.6666666666666666,1,0,2,0
CODE_FAML_MOTF_AQRL,5,3,0,0,5,0,0.0,1.0,0.0,0.6,1,0,4,0
CODE_FAML_PRDT_AQRL,7,4,0,0,7,0,0.0,1.0,0.0,0.5714285714285714,1,0,6,0
CODE_FAML_SEGM_BAFI,3,2,0,0,3,0,0.0,1.0,0.0,0.6666666666666666,1,0,2,0
CODE_FORM_JURD,5,2,0,0,5,0,0.0,1.0,0.0,0.4,1,0,4,0
CODE_IDNT_SUPP,5,2,0,0,3,2,0.0,0.6,0.4,0.4,1,0,4,0
CODE_LEAD_ESPC_ENTRP,3,2,0,0,3,0,0.0,1.0,0.0,0.6666666666666666,1,0,2,0
CODE_MAJ_INTR_UNVR,3,2,0,0,3,0,0.0,1.0,0.0,0.6666666666666666,1,0,2,0
CODE_MED_AQRL,3,2,0,0,3,0,0.0,1.0,0.0,0.6666666666666666,1,0,2,0
CODE_METH_CALC,3,2,0,0,3,0,0.0,1.0,0.0,0.6666666666666666,1,0,2,0
CODE_MODF,5,3,0,1,2,2,0.2,0.4,0.4,0.6,1,0,2,0
CODE_MOTF_CLTR,4,2,0,0,4,0,0.0,1.0,0.0,0.5,1,0,3,0
CODE_MOTF_DERG_TOC,11,3,0,1,9,1,0.09090909090909091,0.8181818181818182,0.09090909090909091,0.2727272727272727,1,0,8,1
CODE_MOTF_NER,7,2,0,0,5,2,0.0,0.7142857142857143,0.2857142857142857,0.2857142857142857,1,0,4,0
CODE_MOTF_SCR,3,2,0,0,3,0,0.0,1.0,0.0,0.6666666666666666,1,0,2,0
CODE_NAF_REV2,5,2,0,0,3,2,0.0,0.6,0.4,0.4,1,0,4,0
CODE_NATR_CPTE_FICB,3,2,0,0,3,0,0.0,1.0,0.0,0.6666666666666666,1,0,2,0
CODE_NATR_DEDM_AQRL,4,3,0,0,4,0,0.0,1.0,0.0,0.75,1,0,3,0
CODE_NATR_FLUX_SERV,3,2,0,0,3,0,0.0,1.0,0.0,0.6666666666666666,1,1,2,0
CODE_NATR_INDM_SALS,3,2,0,0,3,0,0.0,1.0,0.0,0.6666666666666666,1,0,2,0
CODE_NATR_JUST_CCLI,7,4,0,0,4,3,0.0,0.5714285714285714,0.42857142857142855,0.5714285714285714,1,0,3,0
CODE_NATR_PROJ,5,2,0,0,3,2,0.0,0.6,0.4,0.4,1,0,4,0
CODE_NIV_MOTF,3,2,0,0,3,0,0.0,1.0,0.0,0.6666666666666666,1,0,2,0
CODE_NIV_RISQ_INVS,5,2,0,0,3,2,0.0,0.6,0.4,0.4,1,0,4,0
CODE_OPRT_FICB,3,2,0,0,3,0,0.0,1.0,0.0,0.6666666666666666,1,0,2,0
CODE_OPRT_PRGR,5,2,0,0,3,2,0.0,0.6,0.4,0.4,1,0,4,0
CODE_ORIG_RECL_SALS,3,2,0,0,3,0,0.0,1.0,0.0,0.6666666666666666,1,0,2,0
CODE_PERM_RECL_SALS,3,2,0,0,3,0,0.0,1.0,0.0,0.6666666666666666,1,0,2,0
CODE_PERS_JURD,3,2,0,0,3,0,0.0,1.0,0.0,0.6666666666666666,1,0,2,0
